label-coarse,label-fine,text,answer
4,40,How far is it from Denver to Aspen ?,220 miles
5,21,"What county is Modesto , California in ?",Stanislaus
3,12,Who was Galileo ?,Italian scientist
0,7,What is an atom ?,smallest particle of an element
4,8,When did Hawaii become a state ?,1959
4,40,How tall is the Sears Building ?,"1,454 feet"
3,5,George Bush purchased a small interest in which baseball team ?,Texas Rangers
1,30,What is Australia 's national flower ?,golden wattle
0,9,Why does the moon turn orange ?,reflected sunlight
0,7,What is autism ?,developmental disorder
5,21,What city had a world fair in 1900 ?,Paris
3,4,What person 's head is on a dime ?,Franklin Roosevelt
4,45,What is the average weight of a Yellow Labrador ?,65-80 lbs
3,4,Who was the first man to fly across the Pacific Ocean ?,Charles Lindbergh
4,8,When did Idaho become a state ?,1890
4,14,What is the life expectancy for crickets ?,2-3 weeks
1,28,What metal has the highest melting point ?,tungsten
3,4,Who developed the vaccination against polio ?,Jonas Salk
0,7,What is epilepsy ?,seizures
4,8,What year did the Titanic sink ?,1912
3,4,Who was the first American to walk in space ?,Edwin E. Aldrin Jr.
0,7,What is a biosphere ?,self-contained area of life
5,14,What river in the US is known as the Big Muddy ?,Mississippi
0,7,What is bipolar disorder ?,mood swings
0,7,What is cholesterol ?,fatty substance
3,4,Who developed the Macintosh computer ?,Steve Jobs
0,7,What is caffeine ?,stimulant
5,14,What imaginary line is halfway between the North and South Poles ?,Equator
5,14,Where is John Wayne airport ?,Orange County
5,14,What hemisphere is the Philippines in ?,Western
4,35,What is the average speed of the horses at the Kentucky Derby ?,40 mph
5,24,Where are the Rocky Mountains ?,Western United States
0,7,What are invertebrates ?,animals without backbones
4,41,What is the temperature at the center of the earth ?,"9,800°C"
4,8,When did John F. Kennedy get elected as President ?,1960
4,27,How old was Elvis Presley when he died ?,42
5,14,Where is the Orinoco River ?,Venezuela
4,40,How far is the service line from the net in tennis ?,21 feet
4,13,How much fiber should you have per day ?,25-30 grams
4,13,How many Great Lakes are there ?,5
1,30,Material called linen is made from what plant ?,flax
0,7,What is Teflon ?,nonstick coating
0,7,What is amitriptyline ?,antidepressant
0,7,What is a shaman ?,spiritual healer
1,2,What is the proper name for a female walrus ?,cow
1,2,What is a group of turkeys called ?,rafter
4,27,How long did Rip Van Winkle sleep ?,20 years
0,7,What are triglycerides ?,fats
4,13,How many liters in a gallon ?,3.79
3,5,What is the name of the chocolate company in San Francisco ?,Ghirardelli
0,7,What are amphibians ?,amphibious animals
3,4,Who discovered x-rays ?,Wilhelm Roentgen
3,4,Which comedian 's signature line is `` Can we talk '' ?,Joan Rivers
0,7,What is fibromyalgia ?,widespread muscle pain
0,12,What is done with worn or outdated flags ?,burned
0,7,What does cc in engines mean ?,cubic centimeter
4,8,When did Elvis Presley die ?,1977
5,21,What is the capital of Yugoslavia ?,Belgrade
5,21,Where is Milan ?,Italy
4,35,What is the speed hummingbirds fly ?,60 mph
5,21,What is the oldest city in the United States ?,"St. Augustine, FL"
3,4,What was W.C. Fields ' real name ?,William Claude Dukenfield
5,14,"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?",Red River of the North
1,17,What do bats eat ?,insects
5,11,What state did the Battle of Bighorn take place in ?,Montana
3,12,Who was Abraham Lincoln ?,16th US president
1,20,What do you call a newborn kangaroo ?,joey
0,7,What are spider veins ?,varicose veins on face
4,8,What day and month did John Lennon die ?,8-Dec-80
5,14,What strait separates North America from Asia ?,Bering
4,14,What is the population of Seattle ?,"704,352"
4,25,How much was a ticket for the Titanic ?,$435 
5,21,What is the largest city in the world ?,Tokyo
3,4,What American composer wrote the music for `` West Side Story '' ?,Leonard Bernstein
5,14,Where is the Mall of the America ?,"Bloomington, MN"
0,7,What is the pH scale ?,scale of acidity
1,46,What type of currency is used in Australia ?,Australian dollar
4,40,"How tall is the Gateway Arch in St. Louis , MO ?",630 feet
4,45,How much does the human adult female brain weigh ?,2.2 lbs
3,4,Who was the first governor of Alaska ?,William A. Egan
0,7,What is a prism ?,prism
4,8,When was the first liver transplant ?,1967
3,4,Who was elected president of South Africa in 1994 ?,Nelson Mandela
4,14,What is the population of China ?,1.42 billion
4,8,When was Rosa Parks born ?,1913
0,9,Why is a ladybug helpful ?,eats harmful insects
0,7,What is amoxicillin ?,antibiotic
3,4,Who was the first female United States Representative ?,Jeannette Rankin
0,7,What are xerophytes ?,drought-resistant plants
5,18,What country did Ponce de Leon come from ?,Spain
1,10,The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,Civil War
0,7,What is desktop publishing ?,desktop publishing
4,41,What is the temperature of the sun 's surface ?,"5,800°K"
4,8,What year did Canada join the United Nations ?,1945
3,5,What is the oldest university in the US ?,Harvard (1636)
5,14,Where is Prince Edward Island ?,Canada
4,8,"Mercury , what year was it discovered ?",76 BC
0,7,What is cryogenics ?,freezing
0,7,What are coral reefs ?,coral colonies
1,14,What is the longest major league baseball-winning streak ?,26 games
0,7,What is neurology ?,study of nervous system
3,4,Who invented the calculator ?,Blaise Pascal
0,0,How do you measure earthquakes ?,Richter scale
3,12,Who is Duke Ellington ?,jazz composer and pianist
5,21,"What county is Phoenix , AZ in ?",Maricopa
0,7,What is a micron ?,one millionth of a meter
4,41,"The sun 's core , what is the temperature ?",15 million °C
1,2,What is the Ohio state bird ?,cardinal
4,8,When were William Shakespeare 's twins born ?,1583
5,14,What is the highest dam in the U.S. ?,Oroville Dam
1,19,What color is a poison arrow frog ?,poisonous
0,7,What is acupuncture ?,acupuncture
4,40,What is the length of the coastline of the state of Alaska ?,"6,640 miles"
3,4,What is the name of Neil Armstrong 's wife ?,Janet Armstrong
1,30,What is Hawaii 's state flower ?,yellow hibiscus
3,4,Who won Ms. American in 1989 ?,Gretchen Carlson
4,8,When did the Hindenberg crash ?,1937
1,28,What mineral helps prevent osteoporosis ?,calcium
4,8,What was the last year that the Chicago Cubs won the World Series ?,1908
5,14,Where is Perth ?,Australia
4,8,What year did WWII begin ?,1939
4,40,What is the diameter of a golf ball ?,1.68 inches
0,7,What is an eclipse ?,shadow
3,4,Who discovered America ?,Christopher Columbus
4,40,What is the earth 's diameter ?,"7,917 miles"
3,4,Which president was unmarried ?,James Buchanan
4,40,How wide is the Milky Way galaxy ?,"100,000 light years"
4,8,During which season do most thunderstorms occur ?,summer
0,7,What is Wimbledon ?,tennis tournament
4,27,What is the gestation period for a cat ?,9 weeks
4,40,How far is a nautical mile ?,"6,076 feet"
3,4,Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?,John Brown
0,7,What does target heart rate mean ?,target for exercise intensity
1,26,What was the first satellite to go into space ?,Sputnik 1
0,7,What is foreclosure ?,lender takes possession of property
1,14,What is the major fault line near Kentucky ?,New Madrid Fault
